Date,Snow_Cover_Percentage,DSSM,NDVI_nonSR_Min,NDVI_nonSR_Median,NDVI_nonSR_Max,NEE_U50_f,VPD_f,TA,TA_min,TA_max,RG,RG_min,RG_max,RH,SWC_10cm,TS_10cm,D_SNOW,precipitation_rate,TA_lag1d,TA_lag3d,TA_lag7d,TA_lag14d,TS_lag1d,TS_lag3d,TS_lag7d,TS_lag14d,SWC_lag1d,SWC_lag3d,SWC_lag7d,SWC_lag14d,P_lag1d,P_lag3d,P_lag7d,P_lag14d
2018-01-01,100,-204,0.0,0.02,0.04,,,-27.08,-28.23,-25.58,-1.3,-2.95,2.9,62.62,12.26,-10.53,0.32,0.0,,,,,,,,,,,,,,,,
2018-01-02,100,-203,0.0,0.02,0.04,,,-26.16,-28.82,-23.88,-1.3,-2.95,3.48,62.04,12.2,-11.13,0.32,0.0,-27.08,,,,-10.53,,,,12.26,,,,0.0,,,
2018-01-03,100,-202,0.0,0.02,0.04,,,-30.32,-32.76,-26.49,-1.3,-2.95,2.61,64.82,12.16,-11.49,0.32,0.0,-26.16,,,,-11.13,,,,12.2,,,,0.0,,,
2018-01-04,100,-201,0.0,0.02,0.04,,,-31.12,-33.45,-28.79,-1.3,-2.95,2.71,62.79,12.1,-12.01,0.33,0.0,-30.32,-27.86,,,-11.49,-11.05,,,12.16,12.21,,,0.0,0.0,,
2018-01-05,100,-200,0.0,0.02,0.04,,,-26.28,-30.2,-24.18,-1.29,-2.95,3.78,54.5,12.04,-12.48,0.33,0.0,-31.12,-29.2,,,-12.01,-11.54,,,12.1,12.15,,,0.0,0.0,,
2018-01-06,100,-199,0.0,0.02,0.04,,,-29.22,-31.97,-26.69,-1.3,-2.95,2.61,56.08,11.99,-12.82,0.32,0.0,-26.28,-29.24,,,-12.48,-11.99,,,12.04,12.1,,,0.0,0.0,,
2018-01-07,100,-198,0.0,0.02,0.04,,,-29.27,-31.97,-27.29,-1.3,-2.95,3.1,54.52,11.95,-13.22,0.32,0.0,-29.22,-28.88,,,-12.82,-12.44,,,11.99,12.04,,,0.0,0.0,,
2018-01-08,100,-197,0.0,0.02,0.04,,,-26.41,-31.18,-21.47,-1.25,-2.95,3.68,54.77,11.9,-13.56,0.33,0.0,-29.27,-28.26,-28.5,,-13.22,-12.84,-11.95,,11.95,11.99,12.1,,0.0,0.0,0.0,
2018-01-09,100,-196,0.0,0.02,0.04,,,-23.41,-25.58,-20.57,-1.27,-2.95,3.58,56.18,11.87,-13.61,0.32,0.0,-26.41,-28.3,-28.4,,-13.56,-13.2,-12.39,,11.9,11.95,12.05,,0.0,0.0,0.0,
2018-01-10,100,-195,0.0,0.02,0.04,,,-19.74,-23.71,-13.64,-0.62,-2.95,5.04,64.57,11.88,-13.32,0.31,0.0,-23.41,-26.36,-28.01,,-13.61,-13.46,-12.74,,11.87,11.91,12.0,,0.0,0.0,0.0,
